,ASIN,name,freq_bought,freq_bought_link
59,B088X46WS4,EOS 90D Digital SLR Camera Body with EF-S 18-55mm f/3.5-5.6 is STM Lens - 64GB Expo Basic Bundle,,
60,B07ZCWMRZT,"TOAZOE 11"" Adjustable Robust Articulating Friction Magic Arm Clamp Holder Mounts Kit for DSLR/Mirrorless/Action Camera/Camcorder/LCD Monitor Video Vlog Rig w/Smartphone/iPhone/GoPro/Arlo etc",,
62,B0894RVPH2,"Camera Bag, BAGSMART SLR DSLR Canvas Camera Case, Vintage Padded Shoulder Bag with Rain Cover for Women, Men, Black","SanDisk 128GB Extreme PRO SDXC UHS-I Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXY-128G-GN4IN",https://www.amazon.com/SanDisk-128GB-Extreme-UHS-I-SDSDXXY-128G-GN4IN/dp/B07H9DVLBB/ref=pd_bxgy_2/147-9969989-9534603?_encoding=UTF8&pd_rd_i=B07H9DVLBB&pd_rd_r=936184ae-6106-4013-946e-c284d37c5af2&pd_rd_w=MmB5V&pd_rd_wg=oLIgD&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=00HRKY5D0FSSXFZ1QPKW&psc=1&refRID=00HRKY5D0FSSXFZ1QPKW
63,B07WDVWL72,"BAGSMART Camera Backpack, Anti-Theft DSLR SLR Camera Bag Water Resistant Canvas Backpack Fit up to 15"" Laptop with Rain Cover, Tripod Holder for Women and Men (Black)","SanDisk 128GB Extreme SDXC UHS-I Card - C10, U3, V30, 4K UHD, SD Card - SDSDXV5-128G-GNCIN",https://www.amazon.com/SanDisk-128GB-Extreme-UHS-I-SDSDXV5-128G-GNCIN/dp/B07H48412Q/ref=pd_bxgy_2/141-4660243-1380210?_encoding=UTF8&pd_rd_i=B07H48412Q&pd_rd_r=4eedcbc5-d24f-4ea9-be8e-6720f121a503&pd_rd_w=tAje8&pd_rd_wg=mRtSE&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=YWRBFRPC5JZ0RE5RB8MC&psc=1&refRID=YWRBFRPC5JZ0RE5RB8MC
64,B08SZJK62V,Canon EOS 90D Digital SLR Camera Body with Canon EF-S 18-55mm f/3.5-5.6 is STM Lens 3 Lens DSLR Kit Bundled with Complete Accessory Bundle + 64GB + Flash + Case/Bag & More - International Model,,
65,B07517VVGD,Endurax Extra Large Camera DSLR/SLR Backpack for Outdoor Hiking Trekking with 15.6 Laptop Compartment,"SanDisk 128GB Extreme PRO SDXC UHS-I Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXY-128G-GN4IN",https://www.amazon.com/SanDisk-128GB-Extreme-UHS-I-SDSDXXY-128G-GN4IN/dp/B07H9DVLBB/ref=pd_bxgy_2/141-6939687-8625738?_encoding=UTF8&pd_rd_i=B07H9DVLBB&pd_rd_r=7c22d605-e392-4575-bae5-77fdf117be9f&pd_rd_w=aWtm2&pd_rd_wg=fxvuJ&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=ZJ4B8B5XAHFBVJ14DQXX&psc=1&refRID=ZJ4B8B5XAHFBVJ14DQXX
66,B07L62WDH6,"Wireless Microphone Comica CVM-WM100 Plus 48-Channel Professional UHF Dual Wireless Lavalier Lapel Microphone System for Canon Nikon Sony Panasonic DSLR Cameras,XLR Camcorder,Smartphone etc.(2TX+1RX)",,
67,B08RX8J47V,"Camera Microphone, Video Microphone Works for Canon Nikon Sony Panasonic Fuji Camera,DSLR Interview Shotgun Mic with Windscreen 3.5mm Jack…",,
68,B07CKPMN18,FEELWORLD FW450 4.5 Inch DSLR On Camera Field Monitor 4K HDMI Input Output Small HD Focus 1280x800 Ultra Lightweight Video Assist,,
69,B0779PLTN1,NICERYIG 3/8 Inch and 1/4 Inch Camera Quick Release Screw Tripod Screw Adapter Connecter DSLR Camera Rig Accessories,,
